公司名称,城市,工作年限,公司福利,工作标签,工资,学历
上海坤亿信息技术有限公司,上海,1-3年,外企背景 周末双休 带薪年假 年度体检,"['c++', 'c#', 'python']",12k-20k,本科
原子猫科技（北京）有限公司,上海,3-5年,双休不加班五险一金,"['性能测试', '证券', '交易', 'Python', 'C++']",14k-16k,本科
天津思芮信息科技有限公司,上海,3-5年,公司规模大，项目好,"['IT技术服务｜咨询', '人工智能服务']",10k-15k,本科
上海云简软件科技有限公司,上海,3-5年,五险一金，股票期权，带薪休假，项目奖金,"['企业服务', '移动互联网', 'Web测试', 'IOS测试', 'Python', 'appium']",10k-18k,本科
奥解思信息科技（上海）有限公司,上海,不限,外企弹性办公环境，团队氛围好。,"['测试开发', 'Selenium', 'Web测试']",12k-20k,本科
上海时溪信息技术有限公司,上海,3-5年,五险一金 年休假 班车,"['金融业', 'UI自动化', '接口自动化', '证券交易']",12k-17k,大专
上海华钦信息科技股份有限公司,上海,1-3年,六险一金，14天带薪年假,['金融业'],13k-18k,本科
中电金信软件有限公司,上海,1-3年,13薪，14天年假，加班少,['科技金融'],13k-26k,本科
上海阿法迪智能数字科技股份有限公司,上海,3-5年,职业发展,['人工智能服务'],10k-20k,本科
上海轻轻信息科技有限公司,上海,1-3年,发展晋升快 团队氛围好 大牛环绕,"['数据库', 'Web测试']",10k-15k,不限
上海筌慧信息技术中心,上海,不限,六险一金 办公环境,['人工智能服务'],13k-24k,大专
上海雅捷信息技术股份有限公司,上海,1-3年,五险一金 大牛多,[],12k-18k,本科
上海智臻智能网络科技股份有限公司,上海,3-5年,发展前景好 资深团队带教,['人工智能服务'],10k-20k,本科
普华永道信息技术（上海）有限公司,上海,不限,五险一金 圣诞假 worklife balance,['软件服务｜咨询'],10k-20k,本科
上海坤亿信息技术有限公司,上海,3-5年,公司环境好，发展潜力大,['营销服务｜咨询'],12k-15k,本科
公司名称,城市,工作年限,公司福利,工作标签,工资,学历
上海坤亿信息技术有限公司,上海,1-3年,外企背景 周末双休 带薪年假 年度体检,"['c++', 'c#', 'python']",12k-20k,本科
原子猫科技（北京）有限公司,上海,3-5年,双休不加班五险一金,"['性能测试', '证券', '交易', 'Python', 'C++']",14k-16k,本科
天津思芮信息科技有限公司,上海,3-5年,公司规模大，项目好,"['IT技术服务｜咨询', '人工智能服务']",10k-15k,本科
上海云简软件科技有限公司,上海,3-5年,五险一金，股票期权，带薪休假，项目奖金,"['企业服务', '移动互联网', 'Web测试', 'IOS测试', 'Python', 'appium']",10k-18k,本科
奥解思信息科技（上海）有限公司,上海,不限,外企弹性办公环境，团队氛围好。,"['测试开发', 'Selenium', 'Web测试']",12k-20k,本科
上海时溪信息技术有限公司,上海,3-5年,五险一金 年休假 班车,"['金融业', 'UI自动化', '接口自动化', '证券交易']",12k-17k,大专
上海华钦信息科技股份有限公司,上海,1-3年,六险一金，14天带薪年假,['金融业'],13k-18k,本科
中电金信软件有限公司,上海,1-3年,13薪，14天年假，加班少,['科技金融'],13k-26k,本科
上海阿法迪智能数字科技股份有限公司,上海,3-5年,职业发展,['人工智能服务'],10k-20k,本科
上海轻轻信息科技有限公司,上海,1-3年,发展晋升快 团队氛围好 大牛环绕,"['数据库', 'Web测试']",10k-15k,不限
上海筌慧信息技术中心,上海,不限,六险一金 办公环境,['人工智能服务'],13k-24k,大专
上海雅捷信息技术股份有限公司,上海,1-3年,五险一金 大牛多,[],12k-18k,本科
上海智臻智能网络科技股份有限公司,上海,3-5年,发展前景好 资深团队带教,['人工智能服务'],10k-20k,本科
普华永道信息技术（上海）有限公司,上海,不限,五险一金 圣诞假 worklife balance,['软件服务｜咨询'],10k-20k,本科
上海坤亿信息技术有限公司,上海,3-5年,公司环境好，发展潜力大,['营销服务｜咨询'],12k-15k,本科
公司名称,城市,工作年限,公司福利,工作标签,工资,学历
上海坤亿信息技术有限公司,上海,1-3年,外企背景 周末双休 带薪年假 年度体检,"['c++', 'c#', 'python']",12k-20k,本科
原子猫科技（北京）有限公司,上海,3-5年,双休不加班五险一金,"['性能测试', '证券', '交易', 'Python', 'C++']",14k-16k,本科
天津思芮信息科技有限公司,上海,3-5年,公司规模大，项目好,"['IT技术服务｜咨询', '人工智能服务']",10k-15k,本科
上海云简软件科技有限公司,上海,3-5年,五险一金，股票期权，带薪休假，项目奖金,"['企业服务', '移动互联网', 'Web测试', 'IOS测试', 'Python', 'appium']",10k-18k,本科
奥解思信息科技（上海）有限公司,上海,不限,外企弹性办公环境，团队氛围好。,"['测试开发', 'Selenium', 'Web测试']",12k-20k,本科
上海时溪信息技术有限公司,上海,3-5年,五险一金 年休假 班车,"['金融业', 'UI自动化', '接口自动化', '证券交易']",12k-17k,大专
上海华钦信息科技股份有限公司,上海,1-3年,六险一金，14天带薪年假,['金融业'],13k-18k,本科
中电金信软件有限公司,上海,1-3年,13薪，14天年假，加班少,['科技金融'],13k-26k,本科
上海阿法迪智能数字科技股份有限公司,上海,3-5年,职业发展,['人工智能服务'],10k-20k,本科
上海轻轻信息科技有限公司,上海,1-3年,发展晋升快 团队氛围好 大牛环绕,"['数据库', 'Web测试']",10k-15k,不限
上海筌慧信息技术中心,上海,不限,六险一金 办公环境,['人工智能服务'],13k-24k,大专
上海雅捷信息技术股份有限公司,上海,1-3年,五险一金 大牛多,[],12k-18k,本科
上海智臻智能网络科技股份有限公司,上海,3-5年,发展前景好 资深团队带教,['人工智能服务'],10k-20k,本科
普华永道信息技术（上海）有限公司,上海,不限,五险一金 圣诞假 worklife balance,['软件服务｜咨询'],10k-20k,本科
上海坤亿信息技术有限公司,上海,3-5年,公司环境好，发展潜力大,['营销服务｜咨询'],12k-15k,本科
公司名称,城市,工作年限,公司福利,工作标签,工资,学历
上海坤亿信息技术有限公司,上海,1-3年,外企背景 周末双休 带薪年假 年度体检,"['c++', 'c#', 'python']",12k-20k,本科
原子猫科技（北京）有限公司,上海,3-5年,双休不加班五险一金,"['性能测试', '证券', '交易', 'Python', 'C++']",14k-16k,本科
天津思芮信息科技有限公司,上海,3-5年,公司规模大，项目好,"['IT技术服务｜咨询', '人工智能服务']",10k-15k,本科
上海云简软件科技有限公司,上海,3-5年,五险一金，股票期权，带薪休假，项目奖金,"['企业服务', '移动互联网', 'Web测试', 'IOS测试', 'Python', 'appium']",10k-18k,本科
奥解思信息科技（上海）有限公司,上海,不限,外企弹性办公环境，团队氛围好。,"['测试开发', 'Selenium', 'Web测试']",12k-20k,本科
上海时溪信息技术有限公司,上海,3-5年,五险一金 年休假 班车,"['金融业', 'UI自动化', '接口自动化', '证券交易']",12k-17k,大专
上海华钦信息科技股份有限公司,上海,1-3年,六险一金，14天带薪年假,['金融业'],13k-18k,本科
上海阿法迪智能数字科技股份有限公司,上海,3-5年,职业发展,['人工智能服务'],10k-20k,本科
中电金信软件有限公司,上海,1-3年,13薪，14天年假，加班少,['科技金融'],13k-26k,本科
上海轻轻信息科技有限公司,上海,1-3年,发展晋升快 团队氛围好 大牛环绕,"['数据库', 'Web测试']",10k-15k,不限
上海筌慧信息技术中心,上海,不限,六险一金 办公环境,['人工智能服务'],13k-24k,大专
上海雅捷信息技术股份有限公司,上海,1-3年,五险一金 大牛多,[],12k-18k,本科
上海智臻智能网络科技股份有限公司,上海,3-5年,发展前景好 资深团队带教,['人工智能服务'],10k-20k,本科
普华永道信息技术（上海）有限公司,上海,不限,五险一金 圣诞假 worklife balance,['软件服务｜咨询'],10k-20k,本科
上海坤亿信息技术有限公司,上海,3-5年,公司环境好，发展潜力大,['营销服务｜咨询'],12k-15k,本科
公司名称,城市,工作年限,公司福利,工作标签,工资,学历
上海坤亿信息技术有限公司,上海,1-3年,外企背景 周末双休 带薪年假 年度体检,"['c++', 'c#', 'python']",12k-20k,本科
原子猫科技（北京）有限公司,上海,3-5年,双休不加班五险一金,"['性能测试', '证券', '交易', 'Python', 'C++']",14k-16k,本科
天津思芮信息科技有限公司,上海,3-5年,公司规模大，项目好,"['IT技术服务｜咨询', '人工智能服务']",10k-15k,本科
上海云简软件科技有限公司,上海,3-5年,五险一金，股票期权，带薪休假，项目奖金,"['企业服务', '移动互联网', 'Web测试', 'IOS测试', 'Python', 'appium']",10k-18k,本科
奥解思信息科技（上海）有限公司,上海,不限,外企弹性办公环境，团队氛围好。,"['测试开发', 'Selenium', 'Web测试']",12k-20k,本科
上海时溪信息技术有限公司,上海,3-5年,五险一金 年休假 班车,"['金融业', 'UI自动化', '接口自动化', '证券交易']",12k-17k,大专
上海华钦信息科技股份有限公司,上海,1-3年,六险一金，14天带薪年假,['金融业'],13k-18k,本科
中电金信软件有限公司,上海,1-3年,13薪，14天年假，加班少,['科技金融'],13k-26k,本科
上海阿法迪智能数字科技股份有限公司,上海,3-5年,职业发展,['人工智能服务'],10k-20k,本科
上海轻轻信息科技有限公司,上海,1-3年,发展晋升快 团队氛围好 大牛环绕,"['数据库', 'Web测试']",10k-15k,不限
上海筌慧信息技术中心,上海,不限,六险一金 办公环境,['人工智能服务'],13k-24k,大专
上海雅捷信息技术股份有限公司,上海,1-3年,五险一金 大牛多,[],12k-18k,本科
上海智臻智能网络科技股份有限公司,上海,3-5年,发展前景好 资深团队带教,['人工智能服务'],10k-20k,本科
普华永道信息技术（上海）有限公司,上海,不限,五险一金 圣诞假 worklife balance,['软件服务｜咨询'],10k-20k,本科
上海坤亿信息技术有限公司,上海,3-5年,公司环境好，发展潜力大,['营销服务｜咨询'],12k-15k,本科
公司名称,城市,工作年限,公司福利,工作标签,工资,学历
上海坤亿信息技术有限公司,上海,1-3年,外企背景 周末双休 带薪年假 年度体检,"['c++', 'c#', 'python']",12k-20k,本科
原子猫科技（北京）有限公司,上海,3-5年,双休不加班五险一金,"['性能测试', '证券', '交易', 'Python', 'C++']",14k-16k,本科
天津思芮信息科技有限公司,上海,3-5年,公司规模大，项目好,"['IT技术服务｜咨询', '人工智能服务']",10k-15k,本科
上海云简软件科技有限公司,上海,3-5年,五险一金，股票期权，带薪休假，项目奖金,"['企业服务', '移动互联网', 'Web测试', 'IOS测试', 'Python', 'appium']",10k-18k,本科
奥解思信息科技（上海）有限公司,上海,不限,外企弹性办公环境，团队氛围好。,"['测试开发', 'Selenium', 'Web测试']",12k-20k,本科
上海时溪信息技术有限公司,上海,3-5年,五险一金 年休假 班车,"['金融业', 'UI自动化', '接口自动化', '证券交易']",12k-17k,大专
上海华钦信息科技股份有限公司,上海,1-3年,六险一金，14天带薪年假,['金融业'],13k-18k,本科
中电金信软件有限公司,上海,1-3年,13薪，14天年假，加班少,['科技金融'],13k-26k,本科
上海阿法迪智能数字科技股份有限公司,上海,3-5年,职业发展,['人工智能服务'],10k-20k,本科
上海轻轻信息科技有限公司,上海,1-3年,发展晋升快 团队氛围好 大牛环绕,"['数据库', 'Web测试']",10k-15k,不限
上海筌慧信息技术中心,上海,不限,六险一金 办公环境,['人工智能服务'],13k-24k,大专
上海雅捷信息技术股份有限公司,上海,1-3年,五险一金 大牛多,[],12k-18k,本科
上海智臻智能网络科技股份有限公司,上海,3-5年,发展前景好 资深团队带教,['人工智能服务'],10k-20k,本科
普华永道信息技术（上海）有限公司,上海,不限,五险一金 圣诞假 worklife balance,['软件服务｜咨询'],10k-20k,本科
上海坤亿信息技术有限公司,上海,3-5年,公司环境好，发展潜力大,['营销服务｜咨询'],12k-15k,本科
公司名称,城市,工作年限,公司福利,工作标签,工资,学历
上海坤亿信息技术有限公司,上海,1-3年,外企背景 周末双休 带薪年假 年度体检,"['c++', 'c#', 'python']",12k-20k,本科
原子猫科技（北京）有限公司,上海,3-5年,双休不加班五险一金,"['性能测试', '证券', '交易', 'Python', 'C++']",14k-16k,本科
天津思芮信息科技有限公司,上海,3-5年,公司规模大，项目好,"['IT技术服务｜咨询', '人工智能服务']",10k-15k,本科
上海云简软件科技有限公司,上海,3-5年,五险一金，股票期权，带薪休假，项目奖金,"['企业服务', '移动互联网', 'Web测试', 'IOS测试', 'Python', 'appium']",10k-18k,本科
奥解思信息科技（上海）有限公司,上海,不限,外企弹性办公环境，团队氛围好。,"['测试开发', 'Selenium', 'Web测试']",12k-20k,本科
上海时溪信息技术有限公司,上海,3-5年,五险一金 年休假 班车,"['金融业', 'UI自动化', '接口自动化', '证券交易']",12k-17k,大专
上海华钦信息科技股份有限公司,上海,1-3年,六险一金，14天带薪年假,['金融业'],13k-18k,本科
上海阿法迪智能数字科技股份有限公司,上海,3-5年,职业发展,['人工智能服务'],10k-20k,本科
中电金信软件有限公司,上海,1-3年,13薪，14天年假，加班少,['科技金融'],13k-26k,本科
上海轻轻信息科技有限公司,上海,1-3年,发展晋升快 团队氛围好 大牛环绕,"['数据库', 'Web测试']",10k-15k,不限
上海筌慧信息技术中心,上海,不限,六险一金 办公环境,['人工智能服务'],13k-24k,大专
上海雅捷信息技术股份有限公司,上海,1-3年,五险一金 大牛多,[],12k-18k,本科
上海智臻智能网络科技股份有限公司,上海,3-5年,发展前景好 资深团队带教,['人工智能服务'],10k-20k,本科
普华永道信息技术（上海）有限公司,上海,不限,五险一金 圣诞假 worklife balance,['软件服务｜咨询'],10k-20k,本科
上海坤亿信息技术有限公司,上海,3-5年,公司环境好，发展潜力大,['营销服务｜咨询'],12k-15k,本科
公司名称,城市,工作年限,公司福利,工作标签,工资,学历
上海坤亿信息技术有限公司,上海,1-3年,外企背景 周末双休 带薪年假 年度体检,"['c++', 'c#', 'python']",12k-20k,本科
原子猫科技（北京）有限公司,上海,3-5年,双休不加班五险一金,"['性能测试', '证券', '交易', 'Python', 'C++']",14k-16k,本科
天津思芮信息科技有限公司,上海,3-5年,公司规模大，项目好,"['IT技术服务｜咨询', '人工智能服务']",10k-15k,本科
上海云简软件科技有限公司,上海,3-5年,五险一金，股票期权，带薪休假，项目奖金,"['企业服务', '移动互联网', 'Web测试', 'IOS测试', 'Python', 'appium']",10k-18k,本科
奥解思信息科技（上海）有限公司,上海,不限,外企弹性办公环境，团队氛围好。,"['测试开发', 'Selenium', 'Web测试']",12k-20k,本科
上海时溪信息技术有限公司,上海,3-5年,五险一金 年休假 班车,"['金融业', 'UI自动化', '接口自动化', '证券交易']",12k-17k,大专
上海华钦信息科技股份有限公司,上海,1-3年,六险一金，14天带薪年假,['金融业'],13k-18k,本科
中电金信软件有限公司,上海,1-3年,13薪，14天年假，加班少,['科技金融'],13k-26k,本科
上海阿法迪智能数字科技股份有限公司,上海,3-5年,职业发展,['人工智能服务'],10k-20k,本科
上海轻轻信息科技有限公司,上海,1-3年,发展晋升快 团队氛围好 大牛环绕,"['数据库', 'Web测试']",10k-15k,不限
上海筌慧信息技术中心,上海,不限,六险一金 办公环境,['人工智能服务'],13k-24k,大专
上海雅捷信息技术股份有限公司,上海,1-3年,五险一金 大牛多,[],12k-18k,本科
上海智臻智能网络科技股份有限公司,上海,3-5年,发展前景好 资深团队带教,['人工智能服务'],10k-20k,本科
普华永道信息技术（上海）有限公司,上海,不限,五险一金 圣诞假 worklife balance,['软件服务｜咨询'],10k-20k,本科
上海坤亿信息技术有限公司,上海,3-5年,公司环境好，发展潜力大,['营销服务｜咨询'],12k-15k,本科
